,Unnamed: 0,State,Flex,Note,Case,HOPP.wind.capex,HOPP.wind.opex,HOPP.wind.rating_kw,HOPP.wind.annual_energy,HOPP.wind.CF,HOPP.wind.LCOE,HOPP.pv.capex,HOPP.pv.opex,HOPP.pv.rating_kw,HOPP.pv.annual_energy,HOPP.pv.CF,HOPP.pv.LCOE,HOPP.site.lat,HOPP.site.lon,HOPP.site.year,Electrolyzer.HOPP_EL.EL_capex,Electrolyzer.HOPP_EL.EL_opex,Electrolyzer.HOPP_EL.max_production,Electrolyzer.HOPP_EL.H2_annual_output,Electrolyzer.HOPP_EL.CF,H2_storage.initial_state_kg,H2_storage.min_demand,H2_storage.max_demand,H2_storage.HB_sizing,H2_storage.min_state_index,H2_storage.capacity_kg,H2_storage.max_chg_kgphr,H2_storage.min_chg_kgphr,H2_storage.financials.pipe_capex,H2_storage.financials.pipe_opex,H2_storage.financials.lined_capex,H2_storage.financials.lined_opex,H2_storage.financials.salt_capex,H2_storage.financials.salt_opex,Battery_storage.capacity_kWh,Battery_storage.max_chg_kW,Battery_storage.min_chg_kWr,Battery_storage.financials.battery_capex,Battery_storage.financials.battery_opex,DGA.EL.H2_tot,DGA.EL.H2_max,DGA.EL.P_EL_max,DGA.EL.rating_elec,DGA.EL.rating_H2,DGA.EL.capex_rated_power,DGA.EL.opex_rated_power,DGA.EL.capex_kgpday,DGA.EL.opex_kgpday,DGA.ASU.N2_tot,DGA.ASU.N2_max,DGA.ASU.P_ASU_max,DGA.ASU.rating_elec,DGA.ASU.rating_NH3,DGA.ASU.capex,DGA.ASU.opex,DGA.HB.NH3_tot,DGA.HB.NH3_max,DGA.HB.P_HB_max,DGA.HB.rating_elec,DGA.HB.rating_NH3,DGA.HB.capex,DGA.HB.opex,run_params.ramp_lim,run_params.turndown,run_params.plant_life,LT_NH3
0,0,IA,BAT,Complimentarity,IA Complimentarity BAT,727000000.0,943908118.0103396,500000.0,1058950727.8711996,24.17695725733332,5.093519652016967,480000000.0,329270273.7245369,500000.0,844015679.7005694,25.050693689742925,4.228621137540587,40.674,-91.425,2012,316496680.8067721,7750504.353611227,13367.592029851665,33075851.760265317,0.282457914333562,8662.020767581056,3196.899633366865,5328.166055611442,fraction,968,616749.0625884042,5328.166055611442,-9711.023601160983,314509841.9141053,10098461.23404393,36627303.323591776,36627303.323591776,18785932.94749182,935054.9173758108,2424127.490270359,20942.316075724328,-38169.10425682928,104324000.0,30286709.121854626,33191076.078019574,5328.166055611442,728145.0633078504,728145.0633078504,13635.67534284364,640767655.7109083,961151483.5663624,3843.059700921152,5764.589551381728,153744959.5677902,24680.6904622496,2937.0021650077024,2937.0021650077024,24680.6904622496,25541038.81753334,38311558.226300016,186936035.6458632,30008.85651786104,18005.31391071663,18005.31391071663,30008.85651786104,91245039.05591452,136867558.58387178,0.2,0.6,30,5608081.069375897
1,0,TX,BAT,Min storage,TX Min storage BAT,727000000.0,943908118.0103396,500000.0,1268093694.4936426,28.951910833188187,4.167258654237043,480000000.0,329270273.7245369,500000.0,1046474189.5335984,31.05973621903375,3.612440812976702,36.069,-102.819,2012,322944725.1781002,7908406.78672637,13550.709728890726,39721007.2449833,0.3346217023584403,80930.8085594215,3775.0771688688583,6291.795281448099,fraction,33,317780.5257892646,6291.795281448099,-10138.400264725173,163092336.63249102,5414233.572969089,24922521.818395738,24922521.818395738,13623374.070320657,785033.4975773721,1249033.9348151071,24729.853404074525,-39848.90497593855,104324000.0,33087989.757350743,40373563.05103303,6291.7952814481,742979.6949539211,742979.6949539211,13913.47743359403,653822131.5594506,980733197.339176,3893.771878946725,5840.657818420088,187015082.1353134,29144.33412406908,3468.1757607642203,3468.1757607642203,29144.33412406908,27708626.89407989,41562940.34111984,227388645.186294,35436.12940551718,21261.67764331031,21261.67764331031,35436.12940551718,99153415.18206364,148730122.77309546,0.2,0.6,30,6821659.355588819
2,0,IA,BAT,PV CF,IA PV CF BAT,727000000.0,943908118.0103396,500000.0,1464599981.236282,33.438355735988175,3.5328962995530198,480000000.0,329270273.7245369,500000.0,885167805.6670794,26.27210382116903,4.083298736594538,40.74,-94.466,2012,322944725.1781002,7908406.78672637,13550.709728890726,40609512.93490249,0.3421067413123172,2852.552173752946,3821.974703916096,6369.95783986016,fraction,248,392488.8195921321,6369.95783986016,-8913.054207657704,200944303.89272225,6579669.19735981,27916827.00017577,27916827.00017577,14958378.034916628,818193.7946979308,1542674.314256732,25037.07074423769,-35032.69163697485,104324000.0,30777731.443830386,40984244.03016887,6369.957839860161,742979.6949539211,742979.6949539211,13913.47743359403,653822131.5594506,980733197.339176,3893.771878946725,5840.657818420088,189843828.09780425,29506.392267484844,3511.260679830696,3511.260679830696,29506.392267484844,27876764.890552767,41815147.33582915,230828072.1279369,35876.35010734501,21525.810064407004,21525.810064407004,35876.35010734501,99767402.36059973,149651103.5408996,0.2,0.6,30,6924842.163838107
3,0,IA,BAT,green steel sites,IA green steel sites BAT,727000000.0,943908118.0103396,500000.0,906416736.8168832,20.694446046047567,6.067887287007954,480000000.0,329270273.7245369,500000.0,840615896.2624998,24.949786875371,4.24225943049352,42.55,-90.69,2012,322944725.1781002,7908406.78672637,13550.709728890726,30228262.958643436,0.2546519716424704,43563.95135688635,2981.668602109125,4969.447670181875,fraction,944,971056.572138948,4969.447670181875,-9924.977702008118,494064107.1869081,15663602.766221149,50045618.46533024,50045618.46533024,24532356.64697183,1112121.56153813,3816730.456387689,19532.376195579687,-39010.04921966863,104324000.0,29995175.21088973,30474019.22636976,4969.447670181875,742979.6949539211,742979.6949539211,13913.47743359403,653822131.5594506,980733197.339176,3893.771878946725,5840.657818420088,141159233.36782885,23019.06480315794,2739.268711575795,2739.268711575795,23019.06480315794,24683482.834970444,37025224.25245567,171633252.59422845,27988.51247333982,16793.107484003893,16793.107484003893,27988.51247333982,88119991.49230212,132179987.23845318,0.2,0.6,30,5148997.577826854
4,0,TX,BAT,Max CF,TX Max CF BAT,727000000.0,943908118.0103396,500000.0,1769954348.2676003,40.40991662711416,2.84617776715842,480000000.0,329270273.7245369,500000.0,1060461731.7110732,31.47489158046565,3.5631099842109903,30.735,-102.457,2012,322944725.1781002,7908406.78672637,13550.709728890726,48564702.48614508,0.4091236488595717,65565.5069023069,4437.536569172256,7395.8942819537615,fraction,120,340555.5891530061,7395.8942819537615,-8541.654832412789,174634379.98780495,5768652.979068093,25842591.95412144,25842591.95412144,14034569.556161275,794289.87637329,1338551.147797952,29069.50611124366,-33572.909223002585,104324000.0,32095872.5275949,49372723.38789979,7395.894281953762,742979.6949539211,742979.6949539211,13913.47743359403,653822131.5594506,980733197.339176,3893.771878946725,5840.657818420088,228700248.9218073,34258.65026713686,4076.7793817892857,4076.7793817892857,34258.65026713686,29993068.494411808,44989602.74161772,278072972.3097159,41654.54454909063,24992.72672945437,24992.72672945437,41654.54454909063,107501799.2393602,161252698.85904032,0.2,0.6,30,8342189.169291478
5,0,IA,BAT,Max CF,IA Max CF BAT,727000000.0,943908118.0103396,500000.0,1612234028.3657155,36.80899608140903,3.1719916164165003,480000000.0,329270273.7245369,500000.0,885181668.3278643,26.272515270005105,4.085186352262215,41.817,-94.881,2012,322944725.1781002,7908406.78672637,13550.709728890726,43031312.18538223,0.3625087060200039,2046.1644632839923,4015.917610941972,6693.196018236621,fraction,54,614065.2224228603,6693.196018236621,-8970.879045420177,313150665.31589323,10060753.084640777,36524618.57169662,36524618.57169662,18741291.673879128,938234.0188719056,2413578.676953203,26307.555940954106,-35259.97172111821,104324000.0,31545136.1371876,43559884.47535274,6693.196018236622,742979.6949539211,742979.6949539211,13913.47743359403,653822131.5594506,980733197.339176,3893.771878946725,5840.657818420088,201774496.90686807,31003.669443688646,3689.436663798948,3689.436663798948,31003.669443688646,28561163.50753007,42841745.26129511,245334381.38222373,37696.86546192527,22618.11927715516,22618.11927715516,37696.86546192527,102267386.55972658,153401079.8395899,0.2,0.6,30,7360031.441466712
6,0,IA,BAT,Min LCOH,IA Min LCOH BAT,727000000.0,943908118.0103396,500000.0,708488830.9568856,16.175544085773645,7.918917212731167,480000000.0,329270273.7245369,500000.0,803348217.1136596,23.84366854446936,4.392291066162686,43.401,-91.22,2012,322944725.1781002,7908406.78672637,13550.709728890726,26260513.824741825,0.2212264605135937,280132.54041298287,2630.860129775588,4384.766882959314,fraction,965,1474954.9112530618,4384.766882959314,-10837.628638728462,750010573.7117442,23600292.5946496,69081628.44068669,69081628.44068669,32443034.096879397,1359773.8944771718,5797299.038075641,17234.292817243044,-42597.21677115178,104324000.0,30655658.704029106,26373188.40001653,4384.766882959315,742979.6949539211,742979.6949539211,13913.47743359403,653822131.5594506,980733197.339176,3893.771878946725,5840.657818420088,122163703.72271691,20310.754780900497,2416.979818927159,2416.979818927159,20310.754780900497,23215029.951091148,34822544.926636726,148536892.12272683,24695.52166385981,14817.312998315889,14817.312998315889,24695.52166385981,82773942.33949031,124160913.50923549,0.2,0.6,30,4456106.763681805
7,0,TX,BAT,Min LCOH,TX Min LCOH BAT,727000000.0,943908118.0103396,500000.0,1875986505.394333,42.83074213229072,2.631537277803318,480000000.0,329270273.7245369,500000.0,981296438.6312191,29.12523676302705,3.77591084615085,32.257,-99.256,2012,321961161.44643795,7884320.862776486,13550.709728890726,48987216.865391165,0.4126830369682935,7789.820406198531,4467.711878269587,7446.186463782646,fraction,53,357898.15195101174,7446.186463782646,-8881.399764889678,183421512.3978989,6043738.111433336,26538700.141033627,26538700.141033627,14345106.230486171,806685.0983746032,1406715.9587081652,29267.179148646286,-34908.27409091307,104324000.0,32881349.730642676,49836062.98252696,7446.186463782646,740716.8684565532,740716.8684565532,13871.10240555343,651830844.2417668,977746266.3626504,3886.059472684744,5829.089209027115,230846492.29985255,34491.609555461335,4104.501537099899,4104.501537099899,34491.609555461335,30092832.898076937,45139249.34711541,280682555.2823893,41937.79601924399,25162.677611546394,25162.677611546394,41937.79601924399,107866686.82952608,161800030.2442891,0.2,0.6,30,8420476.658471677
8,0,TX,BAT,Wind CF,TX Wind CF BAT,727000000.0,943908118.0103396,500000.0,1875986505.394333,42.83074213229072,2.631537277803318,480000000.0,329270273.7245369,500000.0,981296438.6312191,29.12523676302705,3.77591084615085,32.257,-99.255,2012,321961161.44643795,7884320.862776486,13550.709728890726,48987216.865391165,0.4126830369682935,7789.820406198531,4467.711878269587,7446.186463782646,fraction,53,357898.15195101174,7446.186463782646,-8881.399764889678,183421512.3978989,6043738.111433336,26538700.141033627,26538700.141033627,14345106.230486171,806685.0983746032,1406715.9587081652,29267.179148646286,-34908.27409091307,104324000.0,32881349.730642676,49836062.98252696,7446.186463782646,740716.8684565532,740716.8684565532,13871.10240555343,651830844.2417668,977746266.3626504,3886.059472684744,5829.089209027115,230846492.29985255,34491.609555461335,4104.501537099899,4104.501537099899,34491.609555461335,30092832.898076937,45139249.34711541,280682555.2823893,41937.79601924399,25162.677611546394,25162.677611546394,41937.79601924399,107866686.82952608,161800030.2442891,0.2,0.6,30,8420476.658471677
9,0,IA,BAT,Min storage,IA Min storage BAT,727000000.0,943908118.0103396,500000.0,1080590928.4353762,24.671025763364757,4.993992589383317,480000000.0,329270273.7245369,500000.0,847422940.6520116,25.15182243944327,4.2216970345331655,41.494,-92.834,2012,322944725.1781002,7908406.78672637,13550.709728890726,33411623.295329217,0.281469555811781,1800.470695960882,3242.559862858042,5404.266438096737,fraction,249,786329.5808272653,5404.266438096737,-9323.010029644178,400414266.9833776,12759248.710426249,43074177.76366691,43074177.76366691,21567471.53431109,1018964.3297391224,3090662.424838156,21241.428049123144,-36644.01987102682,104324000.0,29658561.978087906,33627537.843594514,5404.266438096738,742979.6949539211,742979.6949539211,13913.47743359403,653822131.5594506,980733197.339176,3893.771878946725,5840.657818420088,155766701.68734592,25033.196364763706,2978.950367406881,2978.950367406881,25033.196364763706,25719141.481123097,38578712.22168465,189394239.5309748,30437.46280286044,18262.477681716267,18262.477681716267,30437.46280286044,91894339.7605402,137841509.6408103,0.2,0.6,30,5681827.1859292425
