,Unnamed: 0,Case,HOPP.wind.capex,HOPP.wind.opex,HOPP.wind.rating_kw,HOPP.wind.annual_energy,HOPP.wind.CF,HOPP.wind.LCOE,HOPP.pv.capex,HOPP.pv.opex,HOPP.pv.rating_kw,HOPP.pv.annual_energy,HOPP.pv.CF,HOPP.pv.LCOE,HOPP.site.lat,HOPP.site.lon,HOPP.site.year,Electrolyzer.HOPP_EL.EL_capex,Electrolyzer.HOPP_EL.EL_opex,Electrolyzer.HOPP_EL.max_production,Electrolyzer.HOPP_EL.H2_annual_output,Electrolyzer.HOPP_EL.CF,H2_storage.initial_state_kg,H2_storage.min_demand,H2_storage.max_demand,H2_storage.HB_sizing,H2_storage.min_state_index,H2_storage.capacity_kg,H2_storage.max_chg_kgphr,H2_storage.min_chg_kgphr,H2_storage.financials.pipe_capex,H2_storage.financials.pipe_opex,H2_storage.financials.lined_capex,H2_storage.financials.lined_opex,H2_storage.financials.salt_capex,H2_storage.financials.salt_opex,Battery_storage.capacity_kWh,Battery_storage.max_chg_kW,Battery_storage.min_chg_kWr,Battery_storage.financials.battery_capex,Battery_storage.financials.battery_opex,DGA.EL.H2_tot,DGA.EL.H2_max,DGA.EL.P_EL_max,DGA.EL.rating_elec,DGA.EL.rating_H2,DGA.EL.capex_rated_power,DGA.EL.opex_rated_power,DGA.EL.capex_kgpday,DGA.EL.opex_kgpday,DGA.ASU.N2_tot,DGA.ASU.N2_max,DGA.ASU.P_ASU_max,DGA.ASU.rating_elec,DGA.ASU.rating_NH3,DGA.ASU.capex,DGA.ASU.opex,DGA.HB.NH3_tot,DGA.HB.NH3_max,DGA.HB.P_HB_max,DGA.HB.rating_elec,DGA.HB.rating_NH3,DGA.HB.capex,DGA.HB.opex,run_params.ramp_lim,run_params.turndown,run_params.plant_life,LT_NH3
10,0,"TX, inflexible",727000000.0,943908118.0103396,500000.0,1014350770.9176462,23.158693399946262,5.335889697708889,480000000.0,329270273.7245369,500000.0,1061389034.2593085,31.50241425883793,3.56522251000956,34.22,-102.75,2012,324633903.3198788,7949772.094281912,13733.827427929791,35849561.73651182,0.2979807154867519,347160.6658537933,4133.16873676833,4133.16873676833,fraction,1187,2396370.954888744,4133.16873676833,-9853.08381939194,1219957357.742656,38159625.11056676,104749063.27271676,104749063.27271676,46738700.71499783,1793649.0498724715,9418917.77549082,16245.38822106427,-38727.47086194771,104324000.0,28166249.149100125,36206558.13408764,4133.16873676833,746865.8864989583,746865.8864989583,13986.25255616027,657241980.1190833,985862970.178625,3906.9980562518967,5860.497084377846,167713026.33667687,19145.32264117284,2278.293394299568,2278.293394299568,19145.32264117284,18548212.110103942,27822318.16515592,203919584.470774,23278.49137794117,13967.094826764704,13967.094826764704,23278.49137794117,80364075.6053101,120546113.40796515,0.0,1.0,30,6117587.5341232205
120,0,"IA, inflexible",727000000.0,943908118.0103396,500000.0,906416736.8168832,20.694446046047567,6.067887287007954,480000000.0,329270273.7245369,500000.0,840615896.2624998,24.949786875371,4.24225943049352,42.55,-90.69,2012,322944725.1781002,7908406.78672637,13550.709728890726,30228262.958643436,0.2546519716424704,545380.8752566305,3478.654040910569,3478.654040910569,fraction,1302,2782803.648325014,3478.654040910569,-10434.82339268346,1417748951.288817,44290619.24660713,120168304.98972966,120168304.98972966,52763506.33079963,1979856.575586218,10937788.532045567,13672.823197039912,-41013.99382134335,104324000.0,28019690.789323177,30473009.398374688,3478.654040910569,742979.6949539211,742979.6949539211,13913.47743359403,653822131.5594506,980733197.339176,3893.771878946725,5840.657818420088,141154555.72607255,16113.533758683689,1917.5105172833587,1917.5105172833587,16113.533758683689,17045699.363805592,25568549.04570839,171627565.1244423,19592.18779959426,11755.312679756556,11755.312679756556,19592.18779959426,73726905.42210105,110590358.1331516,0.0,1.0,30,5148826.953733269
94,0,"TX, BAT",727000000.0,943908118.0103396,500000.0,1014350770.9176462,23.158693399946262,5.335889697708889,480000000.0,329270273.7245369,500000.0,1061389034.2593085,31.50241425883793,3.56522251000956,34.22,-102.75,2012,324633903.3198788,7949772.094281912,13733.827427929791,35849561.73651182,0.2979807154867519,64490.51623696558,3452.907852909588,5754.846421515979,fraction,54,234243.8486314061,5754.846421515979,-9931.718502251097,120722179.383041,4095627.388765239,21476638.807133213,21476638.807133213,12077200.390611164,731809.4573980148,920693.6618776371,22619.380002188813,-39036.54388365214,104324000.0,31590427.397348315,36203595.08494553,5754.846421515982,746865.8864989583,746865.8864989583,13986.25255616027,657241980.1190833,985862970.178625,3906.9980562518967,5860.497084377846,167699301.1452924,26657.123990652613,3172.1977548876607,3172.1977548876607,26657.123990652613,21814228.04288375,32721342.064325627,203902896.23023885,32411.970412168597,19447.18224730116,19447.18224730116,32411.970412168597,94828144.9315131,142242217.39726967,0.2000000000000002,0.6,30,6117086.886907166
204,0,"IA, BAT",727000000.0,943908118.0103396,500000.0,906416736.8168832,20.694446046047567,6.067887287007954,480000000.0,329270273.7245369,500000.0,840615896.2624998,24.949786875371,4.24225943049352,42.55,-90.69,2012,322944725.1781002,7908406.78672637,13550.709728890726,30228262.958643436,0.2546519716424704,43563.95135688635,2981.668602109125,4969.447670181875,fraction,944,971056.5721389482,4969.447670181875,-9924.977702008118,494064107.1869082,15663602.766221149,50045618.46533025,50045618.46533025,24532356.64697183,1112121.56153813,3816730.456387689,19532.376195579687,-39010.04921966863,104324000.0,29995175.21088973,30474019.226369776,4969.447670181875,742979.6949539211,742979.6949539211,13913.47743359403,653822131.5594506,980733197.339176,3893.771878946725,5840.657818420088,141159233.36782897,23019.06480315794,2739.268711575795,2739.268711575795,23019.06480315794,20300853.48362281,30451280.225434225,171633252.59422842,27988.51247333982,16793.107484003893,16793.107484003893,27988.51247333982,88119991.49230212,132179987.23845318,0.2000000000000002,0.6,30,5148997.577826853
